Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C17        CAPC3216N             8080mil   1854.172mil       8080mil   1854.172mil       8080mil   1797.086mil  T         90.00 Cap            
C18        CAPC3216N             7745mil   1454.172mil       7745mil   1454.172mil   7802.086mil   1454.172mil  T        180.00 Cap            
C19        CAPC3216N             7440mil   1454.172mil       7440mil   1454.172mil   7382.914mil   1454.172mil  T        360.00 Cap            
C20        CAPC3216N             7020mil   1574.172mil       7020mil   1574.172mil       7020mil   1517.086mil  T         90.00 Cap            
C21        CAPC3216N             6920mil   1514.172mil       6920mil   1514.172mil       6920mil   1457.086mil  T         90.00 Cap            
C22        CAPC3216N             6820mil   1514.172mil       6820mil   1514.172mil       6820mil   1457.086mil  T         90.00 Cap            
C23        CAPC3216N             7680mil   2994.172mil       7680mil   2994.172mil       7680mil   2937.086mil  T         90.00 Cap            
C24        CAPC3216N             7580mil   3014.172mil       7580mil   3014.172mil       7580mil   2957.086mil  T         90.00 Cap            
C25        CAPC3216N             7423mil   3054.172mil       7423mil   3054.172mil       7423mil   2997.086mil  T         90.00 Cap            
C26        CAPC3216N             7340mil   3054.172mil       7340mil   3054.172mil       7340mil   2997.086mil  T         90.00 Cap            
C27        CAPC3216N             6700mil   2834.172mil       6700mil   2834.172mil   6757.086mil   2834.172mil  T        180.00 Cap            
C28        CAPC3216N             6740mil   2934.172mil       6740mil   2934.172mil   6797.086mil   2934.172mil  T        180.00 Cap            
C29        CAPC3216N             7500mil   2154.172mil       7500mil   2154.172mil   7557.086mil   2154.172mil  T        180.00 Cap            
C30        CAPC3216N         6732.086mil   1514.172mil   6732.087mil   1514.172mil   6732.086mil   1457.086mil  T         90.00 Cap            
C31        CAPC3216N         6632.086mil   1514.172mil   6632.087mil   1514.172mil   6632.086mil   1457.086mil  T         90.00 Cap            
C32        CAPC3216N         6347.087mil   1614.172mil   6347.087mil   1614.172mil   6404.174mil   1614.172mil  T        180.00 Cap            
C33        CAPC3216N         6457.087mil   1714.172mil   6457.087mil   1714.172mil   6514.174mil   1714.172mil  T        180.00 Cap            
C34        CAPC3216N             5960mil   1514.172mil       5960mil   1514.172mil       5960mil   1457.085mil  T         90.00 Cap            
C35        CAPC3216N         6067.086mil   1497.085mil   6067.087mil   1497.085mil   6067.086mil   1439.998mil  T         90.00 Cap            
C36        CAPC3216N             5655mil   1683.306mil       5655mil   1683.306mil       5655mil    1626.22mil  T         90.00 Cap            
C37        CAPC3216N             5555mil   1683.306mil       5555mil   1683.306mil       5555mil    1626.22mil  T         90.00 Cap            
C38        CAPC3216N             5220mil   1734.172mil       5220mil   1734.172mil   5162.914mil   1734.172mil  T        360.00 Cap            
C39        CAPC3216N             5420mil   1734.172mil       5420mil   1734.172mil   5477.086mil   1734.172mil  T        180.00 Cap            
C40        CAPC3216N             5310mil   1474.172mil       5310mil   1474.172mil   5367.086mil   1474.172mil  T        180.00 Cap            
C41        CAPC3216N         5079.999mil   1654.172mil       5080mil   1654.172mil   5079.999mil   1711.258mil  T        270.00 Cap            
C42        CAPC3216N             4180mil   3219.172mil       4180mil   3219.172mil       4180mil   3162.086mil  T         90.00 Cap            
C43        CAPC3216N             4580mil   3194.172mil       4580mil   3194.172mil       4580mil   3137.086mil  T         90.00 Cap            
C44        CAPC3216N             4480mil   3234.172mil       4480mil   3234.172mil       4480mil   3177.086mil  T         90.00 Cap            
C45        CAPC3216N             4280mil   3219.172mil       4280mil   3219.172mil       4280mil   3162.086mil  T         90.00 Cap            
D1         SOD-323               3780mil   1959.172mil       3780mil   1959.172mil       3780mil   2005.432mil  T         90.00 Diode 1N4148   
J1         BEL_L829-1X1T-91       3765mil   2554.172mil       3760mil   2554.172mil       3760mil   2364.172mil  T         90.00 L829-1X1T-91   
L1         INDC2012L             3920mil   1854.172mil       3920mil   1854.172mil   3888.504mil   1854.172mil  T        360.00 Inductor       
L2         INDC2012L             4560mil   2174.172mil       4560mil   2174.172mil   4591.496mil   2174.172mil  T        180.00 Inductor       
L3         INDC2012L             4320mil   1974.172mil       4320mil   1974.172mil       4320mil   2005.668mil  T        270.00 Inductor       
R39        RESC2012N             4400mil   2334.172mil       4400mil   2334.172mil   4364.566mil   2334.172mil  T        360.00 Res3           
R40        RESC2012N             4485mil   2504.171mil       4485mil   2504.172mil       4485mil   2539.604mil  T        270.00 Res3           
R41        RESC2012N             4565mil   2514.171mil       4565mil   2514.172mil       4565mil   2549.604mil  T        270.00 Res3           
R42        RESC2012N         3460.001mil   3034.172mil       3460mil   3034.172mil   3424.568mil   3034.172mil  T        360.00 Res3           
R43        RESC2012N             3420mil   2054.171mil       3420mil   2054.172mil       3420mil   2089.604mil  T        270.00 Res3           
R44        RESC2012N             4700mil   1604.172mil       4700mil   1604.172mil   4664.566mil   1604.172mil  T        360.00 Res3           
R45        RESC2012N             4380mil   2154.172mil       4380mil   2154.172mil   4415.433mil   2154.172mil  T        180.00 Res3           
R46        RESC2012N         3500.001mil   2054.172mil       3500mil   2054.172mil   3500.001mil   2089.605mil  T        270.00 Res3           
R47        RESC2012N             4900mil   2214.172mil       4900mil   2214.172mil       4900mil   2249.605mil  T        270.00 Res3           
R48        RESC2012N         4980.001mil   2214.172mil       4980mil   2214.172mil   4980.001mil   2249.605mil  T        270.00 Res3           
R49        RESC2012N         5120.001mil   1834.172mil       5120mil   1834.172mil   5084.568mil   1834.172mil  T        360.00 Res3           
R50        RESC2012N             3620mil   2014.172mil       3620mil   2014.172mil       3620mil   2049.605mil  T        270.00 Res3           
R51        RESC2012N             5040mil   1954.172mil       5040mil   1954.172mil       5040mil   1989.605mil  T        270.00 Res3           
